id,submission_time,view_number,vote_number,title,message,image
0,1581633737,58,9-5,How to make lists in Python?? (Edited),I am totally new to this,
1,1493068124,21,38-29,Wordpress loading multiple jQuery Versions,"I developed a plugin that uses the jquery booklet plugin (http://builtbywill.com/booklet/#/) this plugin binds a function to $ so I cann call $('.myBook').booklet();

I could easy managing the loading order with wp_enqueue_script so first I load jquery then I load booklet so everything is fine.

BUT in my theme i also using jquery via webpack so the loading order is now following:

jquery
booklet
app.js (bundled file with webpack, including jquery)",
2,1493015432,1375,65-30,Drawing canvas with an image picked with Cordova Camera Plugin,"I'm getting an image from device and drawing a canvas with filters using Pixi JS. It works all well using computer to get an image. But when I'm on IOS, it throws errors such as cross origin issue, or that I'm trying to use an unknown format.

This is the code I'm using to draw the image (that works on web/desktop but not cordova built ios app)",
4,1581513013,42,215-135,random question (Edited),random message,abstract-2560x1440-huawei-matebook-e-2019-hd-21830.jpg
5,1581678556,0,0-0,Theterm...,The term ‘Computer’ is derived from……….,
6,1581678556,0,0-0,Whois...,Who is the inventor of “Difference Engine”,
7,1581678556,0,0-0,Whois...,Who is the father of Computer,
8,1581678556,0,0-0,Whois...,Who is the father of Computer science,
9,1581678556,0,0-0,Whois...,Who is the father of personal computer,
10,1581678556,0,0-0,ACPU...,A CPU contains,
11,1581678556,0,0-0,Whichof...,Which of the following controls the process of interaction between the user and the operating system,
12,1581678556,0,0-0,Thefirst...,The first computers were programmed using,
13,1581678556,0,0-0,……….isa...,……….is a combination of hardware and software that facilitates the sharing of information between computing devices,
14,1581678556,0,0-0,Codedentries...,Coded entries which are used to gain access to a computer system are called,
15,1581678556,0,0-0,Youorganize...,You organize files by storing them in,
16,1581678556,0,0-0,Whattype...,What type of resource is most likely to be a shared common resource in a computer network,
17,1581678556,0,0-0,Whichdevice...,Which device is required for the Internet connection,
18,1581678556,0,0-0,Whatis...,What is a light pen,
19,1581678556,0,0-0,UNIVACis...,UNIVAC is,
20,1581678556,0,0-0,CD-ROMstands...,CD-ROM stands for,
21,1581678556,0,0-0,ALUis...,ALU is,
22,1581678556,0,0-0,VGAis...,VGA is,
23,1581678556,0,0-0,MSIstands...,MSI stands for,
24,1581678556,0,0-0,Thecapacity...,The capacity of 3.5 inch floppy disk is,
25,1581678556,0,0-0,WANstands...,WAN stands for,
26,1581678556,0,0-0,EBCDICstands...,EBCDIC stands for,
27,1581678556,0,0-0,CADstands...,CAD stands for ,
28,1581678556,0,0-0,Junke-mail...,Junk e-mail is also called,
29,1581678556,0,0-0,Hackersdoes...,Hackers does,
30,1581678556,0,0-0,Whattype...,What type of computers are client computers (most of the time) in a client-server system,
31,1581678556,0,0-0,Acomputer...,A computer cannot ‘boot’ if it does not have the,
32,1581678556,0,0-0,Whatis...,What is embedded system,
33,1581678556,0,0-0,Firstpage...,First page of Website is termed as,
34,1581678556,0,0-0,…………………Is...,………………… Is the appearance of typed characters,
35,1581678556,0,0-0,Whereare...,Where are data and programme stored when the processor uses them,
36,1581678556,0,0-0,Whatcharacteristic...,What characteristic of read-only memory (ROM) makes it useful,
37,1581678556,0,0-0,Whatdo...,What do you call the programs that are used to find out possible faults and their causes,
38,1581678556,0,0-0,Whichprogramming...,Which programming languages are classified as low level languages,
39,1581678556,0,0-0,Whichof...,Which of the following is not anti- viruses’ software,
40,1581678556,0,0-0,Whatdoes...,What does DMA stand for,
41,1581678556,1,0-0,Whichof...,Which of the following is a storage device,
42,1581678556,0,0-0,Whendid...,When did John Napier develop logarithm,
43,1581678556,0,0-0,Anormal...,A normal CD- ROM usually can store up to _________ _data,
44,1581678556,0,0-0,MISis...,MIS is designed to provide information needed for effective decision making by,
45,1581678556,0,0-0,BCDis...,BCD is,
46,1581678556,0,0-0,ASCIIstands...,ASCII stands for,
